OBJECTID,District,Rank,County,Name,Type,Shift,Fwy,Abs_PM,CA_PM,Number_Days_Active,Avg_Extent__Miles_,Total_Delay__veh_hrs_,Direction,Abs_PM_upstream,Shape_Length
43,7,3,LA,Solano Ave.,ML,PM,I110-N,25.01,25.08R,63,3.7,194070,N,21.31,0.047519022657493
44,7,4,LA,Florence Ave.,ML,PM,I605-S,11.22,R9.164,53,6.4,172899,S,17.62,0.0969241415567295
45,7,5,LA,Garfield Ave.,ML,PM,SR60-E,5.59,R5.42,63,3.18,164034,E,2.41,0.0549592824128216
46,7,6,LA,Adams Blvd.,ML,AM,I110-N,20.53,20.6,63,4.2,157070,N,16.33,0.0506606975339019
47,7,7,LA,National Blvd.,ML,AM,I405-N,52.93,29.16,51,5.46,149498,N,47.47,0.0858661444324961
48,7,8,LA,Pasadena Ave_,ML,PM,I5-N,136.63,20,63,3.1,142756,N,133.53,0.0429938446613412
49,7,10,LA,Greenwood Ave.,ML,PM,I5-S,126.9,10.33,41,5.11,138971,S,132.01,0.0872871131717216
50,8,1,RIV,Winchester Road,ML,PM,I15-N,61.32,6.8,62,5.67,222684.8,N,55.65,0.0844395662185626
51,8,2,SBD,Haven Ave,ML,PM,I10-E,54.99,8.22,61,2.74,77469.1,E,52.25,0.047114372335418
52,8,3,SBD,Jurupa,ML,PM,I15-S,107.73,0.969,63,2.41,75417.5,S,110.14,0.0352637356896308
53,8,4,RIV,Pigeon Pass,ML,PM,SR60-E,54.63,14.509,62,3.69,71193.7,E,50.94,0.0707762124412141
54,8,5,RIV,RTE 71/91,ML,AM,SR91-W,39.29,R1.975,54,2.4,58630.6,W,41.69,0.0415163803604742
55,8,6,SBD,4th Street,ML,PM,I15-N,109.97,3.2,62,1.1,48252.5,N,108.87,0.0160384645711016
56,8,7,RIV,west of Rubidoux,ML,PM,SR60-E,48.98,8.7,58,2.61,48019,E,46.37,0.044892226933885
57,8,8,SBD,3.3 miles south of Oak Hill,ML,AM,I15-S,134.66,R25.3L,49,3.5,44576.7,S,138.16,0.0559848763366337
58,8,9,RIV,Pierce,ML,PM,SR91-W,48.15,10.724,58,2.03,43865.3,W,50.18,0.0347088096959743
59,8,10,SBD,0.5 miles west of Milliken,ML,PM,I210-E,59.84,7.4,53,4.91,41049.5,E,54.93,0.0856413015728345
60,10,1,SJ,W-O Mtn House Pkwy OC,ML,AM,I205-W,1.69,0.761,56,2.36,76983,W,4.05,0.0428781094389137
61,10,2,SJ,N-O Off to Jack Tone Rd,ML,PM,SR99-S,238.76,2.971,56,2.64,41697,S,241.4,0.0428840688772085
62,10,3,SJ,N-O On From Main St,ML,PM,SR99-S,236.56,0.776,59,2.38,39695,S,238.94,0.0388934306111233
63,10,4,STA,Kansas Ave,ML,PM,SR99-S,227.83,R16.799,52,1.53,20075,S,229.36,0.0223405362979382
64,10,5,SJ,Mossdale E-O Jct I-5,ML,PM,SR120-E,0.42,R0.914,61,1.29,9943,E,1.711,0.023168030058679
65,10,6,SJ,MacArthur Dr,ML,PM,I205-E,9.44,R8.51,59,1.14,8284,E,8.3,0.0208160191556294
66,10,7,SJ,E-O Tom Paine Slough,ML,PM,I205-E,12.87,R11.94,42,1.8,7750,E,11.07,0.0329906304857576
67,10,8,SJ,W-O Paradise Rd OC,ML,PM,I205-E,10.22,R9.29,35,1.94,6760,E,8.28,0.0353227595411561
68,10,9,SJ,French Camp Turnpike,ML,PM,I5-N,468.7,R23.21,38,1.84,6376,N,466.86,0.0241762976866192
69,10,10,STA,5th Street,ML,PM,SR99-N,226.51,R15.454,61,0.4,6284,N,226.11,0.0072872049495408
70,11,1,SD,Grossmont Blvd to 125 SB,ML,PM,SR125-S,1.83,0,61,4.37,219868,S,6.2,0.0668025907650113
71,11,2,SD,805 SB @ University Ave.,ML,PM,I805-S,15.84,15.99,58,6.28,210562.6,S,22.12,0.0949494522727348
72,11,3,SD,Lemon Ave to 125 SB,ML,PM,SR125-S,17.03,14.623,61,3.12,106883.1,S,20.15,0.0555572465754839
73,11,4,SD,52 EB W-O 15,ML,PM,SR52-E,7.25,7.245,63,1.5,74889,E,5.75,0.0256270932131275
74,11,5,SD,5 SB N-O Civic Center Dr,ML,PM,I5-S,10.8,R10.898,52,3.52,65978.8,S,14.32,0.0591423432747174
75,11,6,SD,Barham-Woodland to 78 EB,ML,PM,SR78-E,14.82,14.82,51,5.31,62555.4,E,9.51,0.0882649457417346
76,11,7,SD,Clairemont Dr EB to 5 SB,ML,PM,I5-S,21.97,R22.082,38,6.63,59510.3,S,28.6,0.102143600056832
77,11,8,SD,163 NB S-O I-8,ML,PM,SR163-N,2.79,3.34,63,2.9,55339.8,N,5.689,0.0429748572889278
78,11,9,SD,Twin Oaks Vlly Rd to 78 EB,ML,PM,SR78-E,12.98,12.988,60,3.79,50677.1,E,9.19,0.0619558426872432
79,11,10,SD,15 SB S-O Balboa Ave,ML,PM,I15-S,8.83,R8.662,51,2.96,50338.6,S,11.79,0.0434121336666301
80,12,1,ORA,LOCATION 5013 NB,ML,PM,I405,12.89,13.122,56,2.97,81086.6,N,9.92,0.0509658902658812
81,12,2,ORA,TONNER,ML,PM,SR57,11.27,22,61,1.64,69372.4,N,9.63,0.0238532093925943
82,12,3,ORA,BROOKHUR1,ML,PM,I405,13.51,13.74,47,3.54,45244.8,N,9.97,0.0602963999444691
83,12,4,ORA,LAKEVIEW1,HV,PM,SR91,28.45,R10.08,59,3.19,36292.4,E,25.26,0.0536693660241334
84,12,5,ORA,1ST,ML,PM,I5,103.05,30.8,60,0.4,34901.9,N,102.65,0.00303538211761794
85,12,6,ORA,BROOKHURST2,ML,AM,I405,13.58,13.81,50,4.51,34164.8,S,18.09,0.0727522900015839
86,12,7,ORA,MAIN 1,ML,AM,I5,105.19,33,55,0.65,26138.8,S,105.84,0.0134823328705536
87,12,8,ORA,TAFT,HV,PM,SR55,15.78,15.8,56,2.98,25228.6,N,12.8,0.0406316413952618
88,12,9,ORA,West OF GYPSUM,ML,PM,SR91,34.14,R15.793,61,2.05,24204.7,E,32.09,0.0352727704097217
89,12,10,ORA,RED ROBIN,ML,PM,I5,91.53,19.33,62,1.09,23100.1,S,92.62,0.0204892699296149
