X,Y,OBJECTID,DISTRICT,ROUTE,ROUTE_SFX,COUNTY,PM_PFX,PM,PM_SFX,LOCATION_DESCRIPTION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT
-122.592432849,41.9546461750001,19,2,5,,SIS,R,65.524,L,BAILEY HILL ROAD  LT,810.0,9600.0,8200.0,810.0,9600.0,8200.0
-116.361485062,32.705826078,20,11,8,,SD,R,61.183,L,CRESTWOOD ROAD UC- LEFT,2450.0,19100.0,17500.0,2450.0,21100.0,18600.0
-116.105804939,32.6453552770001,21,11,8,,SD,R,77.77,L,SAN DIEGO/IMPERIAL COUNTY LINE,870.0,8900.0,8300.0,,,
-116.099293864,32.6786097360001,22,11,8,,IMP,R,3.048,L,MOUNTAIN SPRINGS ROAD LEFT,1100.0,11100.0,10300.0,1100.0,11100.0,10300.0
-122.295931356,37.8489797570001,23,4,13,,ALA,,13.738,L,BEGIN INDEP LEFT ALIGN,4550.0,45500.0,43500.0,2300.0,26000.0,21800.0
-122.298503142,37.8471647750001,24,4,13,,ALA,,13.931,L,"BERKELEY, JCT. RTE. 80",2600.0,26000.0,21800.0,,,
-117.121766639,32.6929573560001,25,11,15,,SD,R,0.0,L,JCT. RTE. 5,,,,9600.0,112000.0,102000.0
-121.844969245,39.719938106,26,3,32,,BUT,R,8.905,L,"CHICO, ON EIGHTH STREET AT WALNUT STREET",1050.0,13100.0,12000.0,1250.0,14700.0,13200.0
-121.843118298,39.7211880180001,27,3,32,,BUT,R,9.038,L,"CHICO, ON EIGHTH STREET AT ORANGE STREET",1250.0,14700.0,13200.0,940.0,13100.0,12100.0
-121.835658945,39.726226377,28,3,32,,BUT,,9.081,L,"CHICO, ON 8TH ST AT MAIN ST",940.0,13100.0,12100.0,2600.0,34500.0,30300.0
-121.841255402,39.722460266,29,3,32,,BUT,R,9.171,L,"CHICO, ON EIGHTH STREET AT IVY STREET",1050.0,14200.0,13000.0,1100.0,14700.0,13400.0
-121.831070396,39.7293307400001,30,3,32,,BUT,,9.4,L,"CHICO, ON EIGHTH STREET AT PINE STREET",1350.0,20300.0,17200.0,1150.0,18100.0,15500.0
-121.830102661,39.7299690940001,31,3,32,,BUT,,9.46,L,"CHICO, ON EIGHTH STREET AT CYPRESS STREET",1400.0,17300.0,15900.0,1450.0,20300.0,17200.0
-121.836602959,39.7256065610001,32,3,32,,BUT,R,9.504,L,"CHICO, ON EIGHTH STREET AT BROADWAY",1150.0,16000.0,13900.0,1050.0,14200.0,13000.0
-121.835658945,39.726226377,33,3,32,,BUT,R,9.571,L,"CHICO, ON 8TH ST AT MAIN ST",2350.0,28100.0,25000.0,2350.0,28100.0,25000.0
-121.819906231,39.736865752,34,3,32,,BUT,,10.187,L,"CHICO, ON EIGHTH STREET AT FIR STREET",1320.0,14300.0,13100.0,2580.0,30800.0,27000.0
-122.39226862,40.5877072660001,35,2,44,,SHA,L,0.0,L,LEFT LANES VIA EUREKA WAY,,,,7700.0,78500.0,75900.0
-122.391034333,40.587994673,36,2,44,,SHA,L,0.072,L,"REDDING, EUREKA WAY/ PINE STREET",1450.0,12800.0,12800.0,1200.0,13600.0,13000.0
-122.390431274,40.586690708,37,2,44,,SHA,L,0.169,L,"REDDING, PINE/SHASTA STREETS, JCT. RTE. 273 SOUTH",1200.0,13600.0,13000.0,1600.0,18400.0,17700.0
-122.384489096,40.5865571460001,38,2,44,,SHA,L,0.498,L,END INDEP ALIGN LT LNS,1850.0,21700.0,20800.0,,,
-122.39226862,40.5877072660001,39,2,44,,SHA,L,0.0,L,"REDDING, JCT. RTE. 5",,,,1450.0,12800.0,12800.0
-121.439685756,38.6002642010001,40,3,51,,SAC,,3.688,L,"SACRAMENTO, JCT. RTE. 160 WEST",10300.0,124000.0,109000.0,11000.0,122000.0,110000.0
-117.104206442,32.651145872,41,11,54,,SD,,0.0,L,WB OFF TO SB 5,,,,9300.0,112000.0,107000.0
-117.098008456,32.6533641020001,42,11,54,,SD,,0.406,L,"NATIONAL CITY, NATIONAL CITY BOULEVARD",4300.0,55000.0,52000.0,4700.0,61000.0,59000.0
-117.090168188,32.6561714870001,43,11,54,,SD,,0.904,L,"NATIONAL CITY, HIGHLAND AVENUE OVERCROSSING",4700.0,61000.0,59000.0,5100.0,66000.0,63000.0
-117.075997832,32.6584608860001,44,11,54,,SD,,1.797,L,END LEFT ALIGN,5100.0,66000.0,63000.0,,,
-117.88002034,33.7842128980001,45,12,57,,ORA,,11.022,L,END INDEPENDENT ALIGN LEFT,11200.0,130000.0,126900.0,,,
-117.837223748,33.9995091160001,46,7,57,,LA,R,4.296,L,"DIAMOND BAR, BEGIN INDEPENDENT ALIGNMENT LEFT",6100.0,88000.0,80000.0,7200.0,105000.0,96000.0
-117.83484919,34.002067169,47,7,57,,LA,R,4.518,L,"DIAMOND BAR, SOUTH JCT. RTE. 60",7200.0,105000.0,96000.0,,,
-117.824268878,34.1131874490001,48,7,57,,LA,R,11.284,L,"GLENDORA, BEGIN INDEPENDENT ALIGNMENT LEFT",4500.0,65000.0,60000.0,5400.0,78000.0,71000.0
-117.833722843,34.1206648,49,7,57,,LA,R,12.212,L,"GLENDORA, END INDEPENDENT ALIGNMENT LEFT",5400.0,78000.0,71000.0,,,
-119.297697569,36.32735903,50,6,63,,TUL,L,8.916,L,MINERAL KING @ WILLIS,1400.0,14800.0,14000.0,1300.0,14000.0,13300.0
-119.29229414,36.32744203,51,6,63,,TUL,L,9.226,L,MINERAL KING @ COURT,1300.0,14000.0,13300.0,,,
-119.293398867,36.3269067190001,52,6,63,,TUL,,7.98,L,"VISALIA, EAST JCT 198 VIA LOCUST STREET",1700.0,15000.0,14200.0,1600.0,14200.0,13500.0
-119.293450429,36.330162848,53,6,63,,TUL,,8.2,L,"VISALIA, ON LOCUST STREET AT MAIN STREET",1250.0,11200.0,10600.0,1300.0,11700.0,11100.0
-119.293481127,36.3328751670001,54,6,63,,TUL,,8.392,L,"VISALIA, ON LOCUST STREET AT SCHOOL STREET",1200.0,11000.0,10100.0,1200.0,10900.0,10000.0
-119.293531006,36.337023392,55,6,63,,TUL,,8.681,L,"VISALIA, LOCUST/PINE STREETS",1050.0,9700.0,8700.0,920.0,8800.0,7900.0
-119.29674857,36.3418269700001,56,6,63,,TUL,R,9.095,L,"VISALIA, ON NORTH WEST THIRD AVENUE AT HOUSTON AVENUE",910.0,8800.0,7900.0,1500.0,16100.0,15100.0
-120.949588504,39.937687501,57,2,70,,PLU,R,43.086,L,WB COUPLET VIA LAWRENCE,750.0,6800.0,14000.0,800.0,6850.0,6500.0
-120.946393749,39.937619398,58,2,70,,PLU,R,43.268,L,"QUINCY, ON LAWRENCE STREET AT RAILWAY AVENUE",450.0,4100.0,3850.0,510.0,4800.0,4450.0
-117.807412883,34.069543831,59,7,71,,LA,R,0.335,L,"POMONA, JCT. RTES. 10/57, SAN BERNARDINO/ORANGE FREEWAYS",,,,2900.0,52000.0,42000.0
-117.805183666,34.0675602800001,60,7,71,,LA,R,0.49,L,"POMONA, END INDEPENDENT ALIGNMENT",2900.0,52000.0,42000.0,,,
-117.898379068,33.6867735800001,61,12,73,,ORA,R,27.742,L,BEGIN LEFT ALIGN,,,,1300.0,17000.0,15400.0
-117.898894173,33.6870406990001,62,12,73,,ORA,R,27.777,L,JCT RTE 405 (LEFT SIDE),1300.0,17000.0,15400.0,1300.0,17000.0,15400.0
-117.902993608,33.6874129550001,63,12,73,,ORA,R,28.016,L,END LEFT ALIGN,1300.0,17000.0,15400.0,,,
-117.174020616,32.6959221450001,64,11,75,,SD,R,19.696,L,"CORONADO, JCT. RTE. 282",,,,3700.0,42500.0,39500.0
-117.172804258,32.695415364,65,11,75,,SD,R,19.789,L,"CORONADO, ON 3RD STREET AT C AVENUE",3050.0,34000.0,32500.0,3200.0,35500.0,34000.0
-117.171682945,32.6949427010001,66,11,75,,SD,R,19.85,L,"CORONADO, ON 3RD STREET AT B AVENUE",3200.0,35500.0,34000.0,3350.0,37000.0,35500.0
-117.169872259,32.692457872,67,11,75,,SD,R,20.035,L,"CORONADO, ON POMONA AVENUE AT 4TH STREET",4300.0,43000.0,38500.0,6600.0,73000.0,70000.0
-122.399307463,37.780215706,68,4,80,,SF,,5.044,L,WB OFF TO 5TH\HARRISON,8300.0,126000.0,122000.0,17000.0,264000.0,254000.0
-122.393985608,37.784256741,69,4,80,,SF,,5.454,L,"SAN FRANCISCO, FOURTH/FIFTH STREETS, BAY BRIDGE CONNECTIONS",6200.0,95000.0,92000.0,8600.0,130000.0,126000.0
-122.391983725,37.7853019230001,70,4,80,,SF,,5.588,L,"FIRST/HARRISON STREETS, BAY BRIDGE CONNECTIONS",6200.0,95000.0,92000.0,8600.0,130000.0,126000.0
-122.366306104,37.8090086720001,71,4,80,,SF,,7.719,L,"TREASURE ISLAND; YERBA BUENA ISLAND",8600.0,130000.0,126000.0,8600.0,131000.0,127000.0
-120.564576612,39.3239346300001,72,3,80,,NEV,R,62.027,L,"CARYLE ROAD, INDIAN SPRINGS INTERCHANGE",1650.0,17300.0,15000.0,1650.0,17300.0,15000.0
-120.556008804,39.316006879,73,3,80,,NEV,R,62.747,L,NEVADA CO LINE,1650.0,15000.0,14400.0,,,
-120.556008804,39.316006879,74,3,80,,PLA,R,62.747,L,NEVADA CO LINE,,,,1650.0,17300.0,15000.0
-120.39274803,39.3254053430001,75,3,80,,NEV,R,2.545,L,SODA SPRING OC,4400.0,34000.0,28000.0,4400.0,34000.0,29500.0
-120.350169419,39.339147993,76,3,80,,NEV,R,5.166,L,CASTLE PEAK UC,4400.0,34000.0,29500.0,4350.0,34000.0,26000.0
-120.289917092,39.331760187,77,3,80,,NEV,R,9.071,L,DONNOR LAKE,4300.0,32500.0,28000.0,4300.0,31000.0,28000.0
-117.976501158,33.857613352,78,12,91,,ORA,R,3.879,L,"FULLERTON, MAGNOLIA BOULEVARD",11900.0,166000.0,158700.0,8400.0,120000.0,113900.0
-117.745095057,33.8706683680001,79,12,91,,ORA,R,14.431,L,WEIR CANYON ROAD,17900.0,289000.0,258600.0,17000.0,270000.0,258600.0
-117.686998229,33.8722570630001,80,12,91,,ORA,R,17.973,L,COAL CANYON ROAD LEFT,16100.0,256000.0,246100.0,9200.0,256000.0,246100.0
-118.377632426,34.1532678410001,81,7,101,,LA,,11.747,L,"LOS ANGELES, JCT. RTES. 134/170",7900.0,121000.0,111000.0,9100.0,140000.0,128000.0
-118.469778695,34.1601859130001,82,7,101,,LA,,17.17,L,"LOS ANGELES, JCT. RTE. 405",10000.0,153000.0,140000.0,10600.0,163000.0,149000.0
-121.135275039,36.2040385120001,83,5,101,,MON,R,41.048,L,BEGIN LEFT ALIGN,2100.0,18900.0,16200.0,1050.0,9400.0,8100.0
-121.137384212,36.2040567670001,84,5,101,,MON,R,41.166,L,BROADWAY UC,1050.0,9400.0,8100.0,1700.0,15000.0,13000.0
-121.147524282,36.197392747,85,5,101,,MON,R,41.921,L,"JOLON ROAD, NORTH JUNCTION",1700.0,15000.0,13000.0,1900.0,15000.0,13500.0
-121.625067525,36.859072154,86,5,101,,SBT,,0.312,L,BEGIN LEFT ALIGN,6500.0,77000.0,70000.0,3150.0,37500.0,34000.0
-121.579829809,36.862103495,87,5,101,,SBT,,3.049,L,N JCT. RTE. 156,3150.0,37500.0,34000.0,2600.0,31000.0,28000.0
-122.405317948,37.7661577220001,88,4,101,,SF,R,4.241,L,"SAN FRANCISCO, JCT. RTE. 80",15500.0,216000.0,298000.0,6100.0,89000.0,191000.0
-124.175130124,40.8007120300001,89,1,101,,HUM,,77.967,L,"EUREKA, ON BROADWAY AT FIFTH STREET",2500.0,29000.0,26400.0,1900.0,13000.0,12500.0
-124.175061583,40.801479574,90,1,101,,HUM,,78.026,L,"EUREKA, ON FOURTH STREET AT BROADWAY",1900.0,13000.0,12500.0,3500.0,25200.0,24000.0
-124.16513209,40.802926234,91,1,101,,HUM,,78.56,L,"EUREKA, ON FOURTH STREET AT G STREET",1900.0,13500.0,12900.0,2000.0,14700.0,14100.0
-124.162938063,40.803235009,92,1,101,,HUM,,78.68,L,"EUREKA, ON FOURTH STREET AT I STREET",2000.0,16600.0,15900.0,2000.0,15500.0,14800.0
-124.155809464,40.8042593870001,93,1,101,,HUM,,79.06,L,"EUREKA, ON FOURTH STREET AT MYRTLE AVENUE",3600.0,37500.0,35660.0,1900.0,22500.0,20000.0
-124.153660735,40.8047221900001,94,1,101,,HUM,,79.168,L,"EUREKA, ON FOURTH STREET AT JCT. RTE. 255 NORTH",1900.0,22500.0,20000.0,2100.0,20400.0,19000.0
-124.146053738,40.804685534,95,1,101,,HUM,,79.574,L,"EUREKA, BEGIN DIVIDED HIGHWAY FACILITY",2100.0,20400.0,19000.0,3400.0,36500.0,35000.0
-124.191573014,41.7527960940001,96,1,101,,DN,,26.183,L,"CRESCENT CITY, ON L ST AT FRONT ST",3300.0,25500.0,30700.0,1890.0,21100.0,16900.0
-124.193036197,41.7527854300001,97,1,101,,DN,,26.268,L,"CRESCENT CITY, ON L STREET AT FRONT STREET",990.0,8800.0,7100.0,940.0,9500.0,7500.0
-124.194967779,41.754815185,98,1,101,,DN,,26.437,L,"CRESCENT CITY, ON L STREET AT 4TH STREET",990.0,9500.0,7500.0,990.0,9500.0,7700.0
-124.198114599,41.7581378560001,99,1,101,,DN,,26.72,L,"CRESCENT CITY, ON L STREET AT 9TH STREET",990.0,9500.0,7700.0,990.0,9300.0,7500.0
-124.197913958,41.760454026,100,1,101,,DN,L,26.855,L,"CRESCENT CITY, END OF L ST Couplet (Milepost Equation)",990.0,9300.0,7500.0,,,
-121.003554288,37.6417041810001,101,10,108,,STA,R,22.439,L,JCT ST 132 AT 9TH AND L,,,,460.0,5600.0,4450.0
-120.998166562,37.645746375,102,10,108,,STA,R,22.836,L,"MODESTO, L STREET AT NEEDHAM AVENUE",460.0,5600.0,4450.0,1400.0,18200.0,15600.0
-118.232143919,34.0754599840001,103,7,110,,LA,,25.086,L,"LOS ANGELES, SOLANO AVENUE",5700.0,93000.0,87000.0,5700.0,92000.0,86000.0
-121.770844949,38.5196938,104,4,113,,SOL,R,21.653,L,EAST JCT RTE 80 SB,1950.0,21500.0,20400.0,4050.0,42500.0,40500.0
-121.768974624,38.5242439720001,105,4,113,,SOL,R,21.989,L,END INDEP ALIGN,1950.0,21500.0,20400.0,4050.0,42500.0,40500.0
-122.82483535,38.403124964,106,4,116,,SON,R,26.65,L,"SEBASTOPOL, ON MAIN STREET",1750.0,18900.0,18500.0,1250.0,13500.0,12800.0
-122.822874496,38.402372052,107,4,116,,SON,R,26.82,L,"SEBASTOPOL, JCT. RTE. 12",1250.0,13700.0,13000.0,1250.0,14000.0,13200.0
-122.819617595,38.3959038510001,108,4,116,,SON,R,27.32,L,"SEBASTOPOL, PALM AVE",1250.0,14000.0,13200.0,,,
-118.289404959,34.155425596,109,7,134,,LA,,5.076,L,"LOS ANGELES, JCT. RTE. 5",7400.0,106000.0,96000.0,8100.0,115000.0,105000.0
-118.795940922,34.758515823,110,7,138,,LA,,0.0,L,BEGIN INDEPENDENT ALIGNMENT LEFT LANES,,,,170.0,2250.0,2100.0
-118.778786918,34.7728269030001,111,7,138,,LA,,1.392,L,END INDEPENDENT ALIGNMENT,170.0,2250.0,2100.0,,,
-120.060505209,36.720666807,112,6,145,,FRE,,34.15,L,BEG SEP ROADWAY WEST A ST LT,320.0,3900.0,3750.0,320.0,3900.0,3750.0
-120.060537482,36.722570074,113,6,145,,FRE,,34.29,L,END SEP ROADWAY C ST LT,320.0,3900.0,3750.0,,,
-122.372974055,40.6812089530001,114,2,151,,SHA,R,5.62,L,"ASHBY RD, BEGIN LT COUP",590.0,6500.0,11250.0,1280.0,12500.0,8950.0
-122.372974055,40.6812089530001,115,2,151,,SHA,R,5.62,L,BEGIN COUPLET AT ASHBY ROAD,,,,630.0,5800.0,4150.0
-122.367106182,40.6808255350001,116,2,151,,SHA,R,5.93,L,On Front Street at Hardenbrook Avenue,630.0,5800.0,4150.0,400.0,5900.0,4200.0
-122.36591576,40.680584116,117,2,151,,SHA,R,5.993,L,Front Street/Shasta Dam Boulevard,400.0,5900.0,4200.0,1050.0,8700.0,8700.0
-117.155662784,32.7198695480001,118,11,163,,SD,,0.598,L,SAN DIEGO ON 10TH AVENUE  AT ASH STREET,,,,1700.0,17100.0,13800.0
-117.155599384,32.720300922,119,11,163,,SD,,0.628,L,"SAN DIEGO, ON 10TH AVENUE, NORTH OF ASH STREET",2750.0,16800.0,13800.0,1900.0,19900.0,18900.0
-119.01320337,35.3808920180001,120,6,178,,KER,R,1.821,L,"BAKERSFIELD, NEAR O STREET",2400.0,27500.0,25000.0,,,
-119.417030109,36.327495959,121,6,198,,TUL,R,3.257,L,BEG INDEP ALIGN LT,2950.0,33500.0,31500.0,1500.0,17000.0,15900.0
-119.409252201,36.3289882340001,122,6,198,,TUL,R,3.711,L,JCT. RTE. 99,1500.0,17000.0,15900.0,5800.0,65000.0,62000.0
-119.39987222,36.3273280660001,123,6,198,,TUL,R,4.248,L,END INDEP ALIGN,1500.0,17000.0,15900.0,,,
-124.148531017,41.8033796240001,124,1,199,,DN,T,0.506,L,JCT. RTE. 101,,,,900.0,6800.0,5400.0
-121.92060546,37.424707029,125,4,237,,SCL,R,9.125,L,McCARTHY BOULEVARD,4600.0,59000.0,57000.0,2150.0,27500.0,26500.0
-122.276699532,37.783518573,126,4,260,,ALA,R,0.838,L,BEGIN LEFT ALIGN,4250.0,65000.0,62000.0,1950.0,33000.0,32000.0
-122.278493933,37.78709659,127,4,260,,ALA,R,1.124,L,"ALAMEDA, WEBSTER TUBE",,,,1950.0,33000.0,32000.0
-122.272587982,37.7975730860001,128,4,260,,ALA,R,1.924,L,"OAKLAND, JCT RTE 880, END LEFT ALIGN",4250.0,65000.0,62000.0,,,
-122.38729014,40.5755661480001,129,2,273,,SHA,,15.921,L,"REDDING, ON MARKET ST., LT",1650.0,16500.0,20600.0,1900.0,18100.0,17000.0
-122.387504549,40.5763687790001,130,2,273,,SHA,,15.978,L,"REDDING, ON MARKET ST. AT CYPRESS ST., LT",800.0,7900.0,7300.0,800.0,7900.0,7300.0
-122.388949427,40.579830083,131,2,273,,SHA,R,16.255,L,"REDDING, MARKET/GOLD STREETS, LT",800.0,7100.0,6600.0,850.0,7500.0,6900.0
-122.390264139,40.579521996,132,2,273,,SHA,R,16.326,L,"REDDING, GOLD/ CALIFORNIA STREETS, LT",850.0,7500.0,6900.0,860.0,7500.0,7000.0
-122.390892166,40.581057699,133,2,273,,SHA,R,16.44,L,"REDDING, ON CALIFORNIA ST. AT SACRAMENTO ST., LT",800.0,7500.0,6500.0,630.0,6700.0,6200.0
-122.391322805,40.582062738,134,2,273,,SHA,R,16.51,L,"REDDING, ON CALIFORNIA ST. AT PLACER ST., LT",630.0,6700.0,6200.0,590.0,6100.0,6000.0
-122.39256535,40.5850314850001,135,2,273,,SHA,R,16.73,L,"REDDING, CALIFORNIA/ TEHAMA STREETS, LT",1380.0,14900.0,9450.0,410.0,4650.0,3950.0
-122.391316576,40.585365166,136,2,273,,SHA,R,16.801,L,"REDDING, TEHAMA/MARKET STREETS, JCT RTE 44 (EB LANES), LT",410.0,4650.0,3950.0,,,
-122.471992114,37.700890777,137,4,280,,SM,M,26.877,L,SB ON FR SB RTE 1,4450.0,54000.0,53000.0,7400.0,89000.0,88000.0
-122.47176431,37.7049686780001,138,4,280,,SM,M,27.165,L,"DALY CITY, JCT. RTE. 1 NORTH",7400.0,89000.0,88000.0,4700.0,56000.0,55000.0
-122.468910402,37.7082772900001,139,4,280,,SM,M,27.433,L,"END INDEP ALIGN, SM/SF CO LINE",4700.0,56000.0,55000.0,,,
-122.412319513,37.733399209,140,4,280,,SF,R,4.009,L,BEGIN LEFT ALIGN,14100.0,177000.0,174000.0,6700.0,85000.0,84000.0
-122.406857813,37.735324232,141,4,280,,SF,R,4.341,L,JCT RTE 101,6700.0,85000.0,84000.0,6000.0,76000.0,75000.0
-122.392361425,37.7500264810001,142,4,280,,SF,R,5.62,L,"SAN FRANCISCO, ARMY STREET",5000.0,64000.0,63000.0,3800.0,47000.0,46000.0
-122.392114199,37.7549299450001,143,4,280,,SF,R,5.951,L,END INDEP ALIGN,3800.0,47000.0,46000.0,8100.0,102000.0,100000.0
-117.174850452,32.6944766230001,144,11,282,,SD,,0.0,L,JCT RTE 75 AT ORANGE AVE,,,,2200.0,17500.0,15700.0
-117.177168781,32.6954542390001,145,11,282,,SD,,0.15,L,4TH ST. AT E AVENUE,2000.0,17200.0,14800.0,1700.0,15300.0,15000.0
-117.180510021,32.696860159,146,11,282,,SD,,0.366,L,4TH ST. AT H AVENUE,1700.0,15300.0,15000.0,1600.0,14300.0,14000.0
-117.182695438,32.6977725300001,147,11,282,,SD,,0.51,L,4TH ST. AT J AVENUE,1600.0,14300.0,14000.0,1550.0,13900.0,13400.0
-117.18377101,32.6982260180001,148,11,282,,SD,,0.581,L,"4TH ST.  AT ALAMEDA BLVD, END OF EASTBOUND COUPLET LANES",1450.0,13100.0,12700.0,,,
-118.578755163,37.4629583930001,149,9,395,,MNO,R,0.0,L,INYO/MONO CNTY LINE,,,,590.0,5000.0,3700.0
-120.001162576,39.673262412,150,3,395,,SIE,R,0.0,L,SIERRA/LASSEN COUNTY LINE,1500.0,16400.0,12600.0,2050.0,23300.0,17400.0
-120.035250805,39.7086684820001,151,3,395,,SIE,R,3.124,L,SIERRA/LASSEN COUNTY LINE,1450.0,13800.0,9200.0,,,
-121.55673249,37.7382854320001,152,10,580,,SJ,,15.308,L,BEG INDEP ALIGN,,,,2550.0,28000.0,25500.0
-121.557135023,37.7386121930001,153,10,580,,SJ,,15.34,L,SAN JOAQUIN/ALAMEDA COUNTY LINE,3700.0,48000.0,42000.0,,,
-121.5628289,37.7410790640001,154,4,580,,ALA,,0.422,L,JCT RTE 205/239 UNC,1850.0,23400.0,22000.0,1850.0,23400.0,22000.0
-121.660502218,37.719268712,155,4,580,,ALA,R,5.933,L,NORTH FLYNN ROAD,9400.0,115000.0,101000.0,9400.0,115000.0,101000.0
-121.58800842,37.7399169600001,156,4,580,,ALA,R,1.622,L,BEGIN LEFT ALIGN,10000.0,115000.0,10600.0,9400.0,115000.0,101000.0
-122.287454539,37.8264446690001,157,4,580,,ALA,,46.262,L,BEGIN LEFT ALIGN,10400.0,143000.0,136000.0,10200.0,129000.0,128000.0
-122.299567664,37.8261214710001,158,4,580,,ALA,,46.946,L,SOUTH JCT 80 NEAR BAY BRIDGE,10200.0,129000.0,250000.0,10200.0,129000.0,128000.0
-122.303590485,37.8253736820001,159,4,580,,ALA,,47.168,L,END INDEP ALIGN,10200.0,129000.0,128000.0,10200.0,129000.0,128000.0
-122.300395099,37.8150863720001,160,4,880,S,ALA,,0.0,L,BEGIN LEFT LANES. PORT OF OAKLAND CONN,,,,7400.0,82000.0,80000.0
-122.317939379,37.823110877,161,4,880,S,ALA,,1.463,L,END OF LEFT LANES,7400.0,82000.0,80000.0,,,
-122.302584643,37.8133505490001,162,4,880,,ALA,R,33.92,L,BEG INDEP ALIGNMENT RT,3500.0,52000.0,51000.0,3600.0,52000.0,51000.0
-122.299213586,37.815999318,163,4,880,,ALA,R,34.18,L,ROUTE 880 CONNECTION TO SAN FRANCISCO-OAKLAND BAY BRIDGE,3600.0,52000.0,51000.0,2150.0,32500.0,31500.0
-122.292902816,37.8216767930001,164,4,880,,ALA,R,34.7,L,WEST GRAND AVENUE,2150.0,32500.0,31500.0,3650.0,53000.0,52000.0
-122.293956197,37.831462849,165,4,880,,ALA,R,35.4,L,WEST JCT RTE 80,3400.0,50000.0,49000.0,,,
-117.077121751,32.5641227720001,166,11,905,,SD,,2.96,L,BEG WB INDEP ALIGN,,,,970.0,10500.0,10000.0
-117.073594255,32.565397617,167,11,905,,SD,,3.19,L,"SAN DIEGO, JCT. RTE. 5",970.0,10500.0,10000.0,2750.0,28000.0,26000.0
-117.068199052,32.567706527,168,11,905,,SD,,3.55,L,END WB INDEPENDENT ALIGMENT,3050.0,31000.0,29000.0,,,
-117.224266771,32.900609537,169,11,5,,SD,R,30.426,R,"SAN DIEGO, SORRENTO VALLEY ROAD",5500.0,66000.0,62000.0,5300.0,65000.0,60000.0
-117.223843093,32.9042581900001,170,11,5,,SD,R,30.682,R,"SAN DIEGO, NORTH JCT. RTE. 805",5300.0,65000.0,60000.0,4700.0,63000.0,60000.0
